	Expression	Targeting
HELPU_009175	2.22093624952034	-3.6374415824569
HELPU_012237	2.32851215471008	-1.50211567878391
HELPU_020185	2.00981552651865	-2.16969215182181
HELPU_000962	-1.69031575135559	5.04706543049967
HELPU_015742	-7.88328326761601	4.40159702483062
HELPU_002986	2.02787633893991	3.12891327568481
HELPU_015352	4.82664576288701	3.62146088758442
HELPU_016386	2.60380020383464	3.32357545186501
HELPU_016796	5.87642533481773	3.40653395389226
HELPU_018162	2.12941233266052	2.32812541524593
HELPU_005662	6.14030591278245	3.07370088338513
HELPU_005784	1.60725697199546	2.84889596885274
HELPU_012899	4.21222636580349	1.91294129707088
HELPU_018688	1.52964092027616	4.02107781947743
HELPU_021401	2.54702745351315	1.50161992806128
HELPU_007292	-4.05674760740224	-3.1932168760806
HELPU_020122	-7.35611416077385	-4.11181676662805
