	Expression	Targeting
HELPU_005943	1.64074035201645	-1.4388503030876
HELPU_008210	0.801797331984413	-3.39034932114479
HELPU_008812	2.73151644624334	-2.07947733271358
HELPU_009193	2.09918908497269	-2.48048939597522
HELPU_009352	4.12413121672208	-1.66186787556973
HELPU_015152	2.42782405031887	-3.80060722222772
HELPU_015487	1.48605615968545	-2.30613649584439
HELPU_016393	1.38334080903072	-4.30173292135212
HELPU_016689	6.59256488615438	-5.99151976025727
HELPU_017194	4.18130308706984	-2.78756408176495
HELPU_017829	2.39902273240948	-2.98661596669741
HELPU_003930	-1.12368468184948	1.7180622607257
HELPU_011110	-2.80316926547769	2.80212514934153
HELPU_018554	-3.52462958960545	1.8243405290157
HELPU_021314	-7.14166971726539	5.9195640438475
HELPU_000747	-1.05199146688037	2.46221583053356
HELPU_001304	-2.63053786967751	3.6286135813398
HELPU_001984	-1.67393294366133	1.4611911819711
HELPU_004127	-1.91803198690698	3.53916204343296
HELPU_005093	-1.59637524521236	1.56533860068984
HELPU_005674	-4.95760379750153	1.16049537753722
HELPU_007403	-3.04347520591694	1.23057704678258
HELPU_008393	-2.9122460846798	3.80338639296363
HELPU_009416	-2.52715620286993	1.34932065445881
HELPU_009435	-0.860006844116897	4.45266685798359
HELPU_009486	-1.58290366725651	3.20727407628041
HELPU_010531	-1.91725629960388	1.24980374568499
HELPU_010893	-0.889628500813292	2.78120487855101
HELPU_011393	-1.57407581240864	3.41250218458918
HELPU_011866	-1.48142206233804	3.3989150953135
HELPU_011935	-1.08037277757108	1.6608946264625
HELPU_012858	-1.86000246392772	2.4541286242523
HELPU_014379	-1.82459399900915	1.69979524270482
HELPU_014714	-3.63404799155085	3.99507246053104
HELPU_014721	-1.3460669564435	1.68151292950323
HELPU_014850	-3.5894851447163	2.16742183649565
HELPU_016811	-2.81614098928401	4.57110554403888
HELPU_017892	-2.0150790429694	3.51406852722027
HELPU_018341	-3.54563798627482	1.68887139570398
HELPU_018482	-1.15175741303497	2.25027872959102
HELPU_019061	-2.19943396842932	1.06825153905451
HELPU_021507	-2.58324288077224	1.92575737022508
HELPU_022105	-1.68716247897753	1.7058733447066
HELPU_016299	2.87042704686004	1.18679568435154
HELPU_017295	6.96549538725587	2.20769077359857
HELPU_017336	4.91161476377195	3.79860889317084
HELPU_019443	5.09574869585974	1.14033284448597
HELPU_021487	2.50197763899877	2.00597786523408
HELPU_000638	2.99672482233009	1.42542538271473
HELPU_000738	2.11710398458897	4.47189674733047
HELPU_003874	1.76946329195804	1.83715612610991
HELPU_004870	2.92041996617332	4.10652232817987
HELPU_005958	1.5097434615523	3.72550142084122
HELPU_010443	2.28804268800975	1.86182302351467
HELPU_012345	2.85405846897454	4.17937659157135
HELPU_012627	1.65128393148138	1.41762724511295
HELPU_015806	2.333457756256	1.34016209371235
HELPU_016237	8.81247502280939	2.35447635737353
HELPU_016983	2.13727495043308	3.57483781588254
HELPU_017437	1.47459866052822	2.21633676822591
HELPU_017477	6.6800002872004	4.88631101851098
HELPU_018993	1.90288275022315	1.40188131971329
HELPU_022272	1.97743304399318	2.52489832678674
HELPU_000044	-1.14807422513949	-3.50745251141193
HELPU_004102	-2.63631865187376	-3.97033709234011
HELPU_006056	-1.68583737976748	-1.22839874730604
HELPU_014977	-1.70849138939572	-2.99913553027587
HELPU_017653	-1.35153961103808	-2.47479133240986
HELPU_020615	-6.87120569530046	-2.12927899453413
HELPU_023783	-3.26784711104777	-2.03217183178348
HELPU_000643	-2.10707263991323	-2.20450754637454
HELPU_000930	-1.05940617852064	-4.14529796478472
HELPU_002037	-3.62276275030512	-1.69989838703807
HELPU_002956	-1.20084249296369	-3.68107918764885
HELPU_004088	-2.75571072431256	-2.03726006346116
HELPU_006045	-1.35259343846976	-1.71285299145824
HELPU_006504	-1.1573404324735	-3.24514400558837
HELPU_008127	-1.55309902472235	-3.27780725206522
HELPU_008968	-2.02345133434675	-5.41588862866296
HELPU_011415	-2.68289107336461	-3.36514513784207
HELPU_011911	-0.778842660378482	-3.09147564065809
HELPU_012030	-1.40962428154055	-1.40872125754483
HELPU_014293	-3.35003012470806	-3.20140531558673
HELPU_014337	-4.5797256331553	-4.77924152204202
HELPU_014827	-1.01162288772236	-3.48496641164644
HELPU_015280	-3.34390866446261	-1.17518113339045
HELPU_017065	-1.72558281428961	-2.53304451399686
HELPU_017461	-3.38953493602299	-1.60572672141059
HELPU_017656	-3.25239030422702	-2.28855638322021
HELPU_017720	-7.78179631267219	-1.81412924225554
HELPU_017797	-1.78976865707204	-5.68440880989812
HELPU_020758	-2.47408021946142	-2.82591152060048
HELPU_022940	-1.433609857176	-5.47348444203939
