logFC	logCPM	F	PValue	FDR
jcf7180000393818_1201_2200	3.85478603797871	3.96739094522236	114.479470681356	9.73356285378794e-10	0.000278795520752192
jcf7180000349193_67801_68400	4.2320660262204	3.78702403414493	97.3686926045042	3.85214715331049e-09	0.000418591569407793
jcf7180000361240_40701_40900	4.77898806496955	3.86169146362796	93.1959623625735	5.58110308866108e-09	0.000418591569407793
jcf7180000353139_36901_37300	4.20804906916206	2.49908342664615	92.6285529431463	5.84569987337497e-09	0.000418591569407793
jcf7180000421149_169201_169400	8.49865365500015	3.12758640353579	80.4065434854177	1.88659566753455e-08	0.00078882352677711
jcf7180000350055_10201_10400	3.66089505290352	2.5506539422463	80.1086794015598	1.92780872174752e-08	0.00078882352677711
jcf7180000420440_199901_200500	3.95974255074408	2.21500150647629	77.8508878082117	2.42924607560202e-08	0.000869752082120575
jcf7180000417653_22801_23000	5.64025728704317	1.92693576172158	75.6301735386587	3.0907696288667e-08	0.000885279872487403
jcf7180000347825_13601_13900	5.66265414085023	1.97634325931227	72.9986382848949	4.10082535776842e-08	0.00106428224996276
jcf7180000348477_25001_25600	4.98525103891907	1.45721528802868	71.6572586711005	4.7348235853619e-08	0.00106428224996276
jcf7180000358992_11701_12600	2.83202332844692	4.9516767297867	71.4385556530676	4.83043471792671e-08	0.00106428224996276
jcf7180000417320_46501_46700	7.21744299500708	2.32897504505397	76.4267568645402	6.6690480463237e-08	0.00127346361650957
jcf7180000413241_27801_28000	5.6316701707444	0.189701577131565	64.9257872064858	1.02273511028306e-07	0.00162743860796137
jcf7180000352596_13701_14100	3.36945960508084	1.89698949702202	61.9403287907441	1.47124883930846e-07	0.00188922139629123
jcf7180000416228_18301_18500	5.48563857306343	2.19025434893566	61.8267097252674	1.50245064447907e-07	0.00188922139629123
jcf7180000420593_9601_10000	6.45049193648194	2.07538265309511	61.6267470813129	1.5402566767068e-07	0.00188922139629123
jcf7180000371661_24701_25000	2.86351732887142	2.84119613231152	60.3554982928869	1.7943840324123e-07	0.00188922139629123
jcf7180000417369_15401_15700	4.01909814065676	1.96291408720045	60.3670052540824	1.80151483706918e-07	0.00188922139629123
jcf7180000413290_12701_12800	6.35475401099044	0.87877624434089	70.123708658468	1.91083705762113e-07	0.00188922139629123
jcf7180000356393_57101_57400	5.28505483646436	1.54826628101189	59.6801299924441	1.96700916184182e-07	0.00188922139629123
jcf7180000420440_200601_201100	4.44272765313712	1.95111403459008	59.6386075337786	1.97874648300394e-07	0.00188922139629123
jcf7180000350833_26401_26700	5.10689397993978	3.00953988585603	58.7924213597098	2.20565674870902e-07	0.00193009138717659
jcf7180000347963_41701_41900	4.84687528034087	1.74860659959981	58.6801478101588	2.2237085113075e-07	0.00193009138717659
jcf7180000353034_15901_16500	2.8014294354651	3.43372433251294	58.3151855151587	2.3308414525387e-07	0.001963576249195
jcf7180000375322_21301_21500	5.36529893722915	4.18125790146501	58.1156688576039	2.40778675293425e-07	0.001970443246522
