logFC	logCPM	F	PValue	FDR
jcf7180000355072_3601_3900	-7.41823720958191	3.98913614594884	224.91987461865	2.30883978299498e-12	5.93213414725518e-07
jcf7180000392528_304301_304500	-4.04767865532865	2.83641543367265	143.821627084344	1.32758331062571e-10	5.06589708494736e-06
jcf7180000349577_19801_20400	-5.37750941398152	5.31277593339673	129.766140625028	3.32118957978331e-10	6.03834916729529e-06
jcf7180000421847_410001_410300	-4.3003985753314	3.17981721350749	126.692475351348	4.04617168692875e-10	6.81725186924672e-06
jcf7180000355072_18701_18900	-4.8622664334031	4.004616437149	122.34088578644	5.51381234404771e-10	8.31213014878186e-06
jcf7180000386086_2801_3000	-8.00607271921316	1.5378017167351	132.555538408487	9.45880595430348e-10	1.0470670851309e-05
jcf7180000417885_41001_41500	-4.45873937265389	4.84085845187985	114.400466673268	9.80743400988532e-10	1.0470670851309e-05
jcf7180000415785_11401_11600	-7.99374700095784	1.52363868290936	130.677699090785	1.06012860061364e-09	1.0470670851309e-05
jcf7180000422037_59801_60400	-4.47219698773608	2.33702020785892	105.248035927813	2.0068351983305e-09	1.59669940375614e-05
jcf7180000393533_40501_40900	-5.44816197843195	2.8032758780233	101.343345357949	2.77842555844444e-09	1.94101487177699e-05
jcf7180000347236_14501_15300	-4.36775155263871	2.41453125744193	100.303536190009	3.01793163778913e-09	2.01412173834538e-05
jcf7180000357946_17501_17800	-5.48842233799095	3.3376191167505	100.331532159507	3.02371057019245e-09	2.01412173834538e-05
jcf7180000353537_801_1100	-5.45088265475841	1.83816489397726	98.5975263253529	3.50137052369146e-09	2.17606562216329e-05
jcf7180000348810_119501_119800	-5.44725788925419	1.83527338036161	98.3675726692352	3.57072078545928e-09	2.17606562216329e-05
jcf7180000420532_67801_68300	-5.27824592937246	3.42096136040369	94.6817074403906	4.91604525322315e-09	2.65227260576323e-05
jcf7180000347063_573501_574000	-3.79386510704842	2.61527499180858	93.0976570358812	5.60493422880608e-09	2.81649911641094e-05
jcf7180000349755_4101_4600	-3.9155728940791	1.09946365077381	91.8621357300772	6.26390875876455e-09	2.99025432341109e-05
jcf7180000358574_10701_12100	-5.63216565388192	3.78202705400275	91.4841149856482	6.54312878421116e-09	3.07234221028729e-05
jcf7180000348597_17001_17600	-4.5154950777457	2.14026361707281	90.7562386854411	6.99122937819273e-09	3.1785346938216e-05
jcf7180000421994_95601_95900	-4.62082576825599	0.798593096976261	90.176243738749	7.30456594859387e-09	3.26910142337171e-05
jcf7180000347140_20501_21500	-3.26253345818553	4.67691186839108	89.5793977769273	7.71743505681028e-09	3.34921480457121e-05
jcf7180000362282_6901_7700	-3.99701953214083	2.39950157419466	89.3070120041773	7.9491714584577e-09	3.39829452736069e-05
jcf7180000417913_31601_31900	-8.26148203837547	2.19972109500696	100.314883657846	8.55480786958649e-09	3.51123194041923e-05
jcf7180000349577_21401_21800	-5.66688899713377	3.49272324037279	88.4304274697278	8.66514836119344e-09	3.51123194041923e-05
jcf7180000421800_2901_3400	-5.31721653285573	2.71767721356788	88.0940478752245	8.94181887088029e-09	3.55719215795782e-05
jcf7180000417477_99301_100300	-4.48704199527848	1.66544120748816	87.6758125053761	9.24867447427417e-09	3.62886312827798e-05
jcf7180000420503_33201_33300	-5.2466699662348	1.99095481626411	87.2542847344997	9.66735363220348e-09	3.70232314786814e-05
jcf7180000421564_85101_85200	-5.02836732038754	1.97613900001598	86.667170862569	1.01368895198309e-08	3.72240878781618e-05
jcf7180000387573_1701_2283	-3.37510096637392	2.25691305267382	84.768093542915	1.21593470671589e-08	4.25259358104332e-05
jcf7180000349325_28401_29200	-7.83689167238034	0.418876594678666	95.6825974969887	1.21745741024957e-08	4.25259358104332e-05
jcf7180000348271_14701_15300	-4.61126153483565	1.28938399563253	84.4799902822049	1.25032357658115e-08	4.31477627794467e-05
jcf7180000420494_13601_14200	-3.04975907181475	3.38960459883839	84.2855575808529	1.27413573946937e-08	4.34460568391657e-05
jcf7180000367089_25801_25900	-5.61893959731649	1.99336151833783	83.874604331453	1.3378075936685e-08	4.45563041432194e-05
jcf7180000393029_13401_14000	-4.52171038877984	3.54550262218855	83.2289475049653	1.42495215722338e-08	4.5332690041079e-05
jcf7180000363177_1701_1900	-4.32403564963271	2.21793443940017	83.0314160922581	1.44025346553858e-08	4.5332690041079e-05
jcf7180000378172_3201_3400	-4.32403564963271	2.21793443940017	83.0314160922581	1.44025346553858e-08	4.5332690041079e-05
jcf7180000349169_101401_101600	-3.54310474386991	1.2927470286372	82.8673718426818	1.46368996588761e-08	4.55696006368795e-05
jcf7180000348597_17801_18300	-5.22681699759519	1.40539243951476	82.499369340696	1.52779810537779e-08	4.70540460138758e-05
jcf7180000393977_11901_12100	-2.74019827903587	2.47848435928357	81.7724188216759	1.6312934048105e-08	4.97070719212402e-05
jcf7180000361362_76801_77300	-4.49598057585893	4.79729760631334	80.2386614372545	1.91883387619219e-08	5.496058306561e-05
jcf7180000417720_82401_82600	-7.06282448631792	1.13003154206723	89.7233970447502	1.98821482426158e-08	5.56506093505486e-05
jcf7180000414046_65301_65600	-2.66514419039524	3.39609294482387	79.567585482239	2.03665121659869e-08	5.58705503983885e-05
