cluster	pair	neglog10p	best_count	n_terms_in_pair	theme_label	theme_id	theme_term	n_pairs	member_terms
18	3	4.74472749489669	11	1	response to nitrate (+12 related terms)	GO:0010167	response to nitrate	3	cellular response to hydrogen peroxide | response to aluminum ion | response to arsenic-containing substance | response to chemical | response to ethylene | response to manganese ion | response to methyl methanesulfonate | response to nitrate | response to ozone | response to reactive oxygen species | response to salicylic acid | response to sucrose | response to sulfur dioxide
18	4	2.43651891460559	798	8	response to nitrate (+12 related terms)	GO:0010167	response to nitrate	3	cellular response to hydrogen peroxide | response to aluminum ion | response to arsenic-containing substance | response to chemical | response to ethylene | response to manganese ion | response to methyl methanesulfonate | response to nitrate | response to ozone | response to reactive oxygen species | response to salicylic acid | response to sucrose | response to sulfur dioxide
23	1	1.65306053730101	52	3	regulation of nematode larval developmen... (+5 related terms)	GO:0061062	regulation of nematode larval developmen...	3	negative regulation of post-embryonic de... | negative regulation of seed germination | negative regulation of stomatal complex ... | regulation of nematode larval developmen... | regulation of post-embryonic root develo... | regulation of vegetative phase change
23	3	2.22621355501881	5	1	regulation of nematode larval developmen... (+5 related terms)	GO:0061062	regulation of nematode larval developmen...	3	negative regulation of post-embryonic de... | negative regulation of seed germination | negative regulation of stomatal complex ... | regulation of nematode larval developmen... | regulation of post-embryonic root develo... | regulation of vegetative phase change
23	4	2.39577394691553	50	5	regulation of nematode larval developmen... (+5 related terms)	GO:0061062	regulation of nematode larval developmen...	3	negative regulation of post-embryonic de... | negative regulation of seed germination | negative regulation of stomatal complex ... | regulation of nematode larval developmen... | regulation of post-embryonic root develo... | regulation of vegetative phase change
24	1	2.014573525917	168	2	positive regulation of flower developmen... (+9 related terms)	GO:0009911	positive regulation of flower developmen...	3	anther dehiscence | floral organ abscission | floral whorl development | mucilage metabolic process involved in s... | petal morphogenesis | positive regulation of flower developmen... | reproductive shoot system development | seed coat development | specification of floral organ identity | stamen filament development
24	3	2.44369749923271	5	3	positive regulation of flower developmen... (+9 related terms)	GO:0009911	positive regulation of flower developmen...	3	anther dehiscence | floral organ abscission | floral whorl development | mucilage metabolic process involved in s... | petal morphogenesis | positive regulation of flower developmen... | reproductive shoot system development | seed coat development | specification of floral organ identity | stamen filament development
24	4	3.58502665202918	83	6	positive regulation of flower developmen... (+9 related terms)	GO:0009911	positive regulation of flower developmen...	3	anther dehiscence | floral organ abscission | floral whorl development | mucilage metabolic process involved in s... | petal morphogenesis | positive regulation of flower developmen... | reproductive shoot system development | seed coat development | specification of floral organ identity | stamen filament development
25	1	2.05749589383192	59	7	xenobiotic transport (+9 related terms)	GO:0042908	xenobiotic transport	3	cytoplasmic streaming | export from cell | hydrogen peroxide transmembrane transpor... | import across plasma membrane | import into cell | intercellular transport | receptor-mediated endocytosis | retrograde vesicle-mediated transport, G... | xenobiotic detoxification by transmembra... | xenobiotic transport
25	3	1.45642857603763	4	1	xenobiotic transport (+9 related terms)	GO:0042908	xenobiotic transport	3	cytoplasmic streaming | export from cell | hydrogen peroxide transmembrane transpor... | import across plasma membrane | import into cell | intercellular transport | receptor-mediated endocytosis | retrograde vesicle-mediated transport, G... | xenobiotic detoxification by transmembra... | xenobiotic transport
25	4	2.38827669199266	36	3	xenobiotic transport (+9 related terms)	GO:0042908	xenobiotic transport	3	cytoplasmic streaming | export from cell | hydrogen peroxide transmembrane transpor... | import across plasma membrane | import into cell | intercellular transport | receptor-mediated endocytosis | retrograde vesicle-mediated transport, G... | xenobiotic detoxification by transmembra... | xenobiotic transport
26	1	2.46344155742847	6	1	xyloglucan biosynthetic process (+2 related terms)	GO:0009969	xyloglucan biosynthetic process	3	glucuronoxylan biosynthetic process | regulation of starch biosynthetic proces... | xyloglucan biosynthetic process
26	3	2.1771783546969	3	1	xyloglucan biosynthetic process (+2 related terms)	GO:0009969	xyloglucan biosynthetic process	3	glucuronoxylan biosynthetic process | regulation of starch biosynthetic proces... | xyloglucan biosynthetic process
26	4	3.16115090926274	9	2	xyloglucan biosynthetic process (+2 related terms)	GO:0009969	xyloglucan biosynthetic process	3	glucuronoxylan biosynthetic process | regulation of starch biosynthetic proces... | xyloglucan biosynthetic process
28	1	4.20065945054642	9	3	chloride transmembrane transport (+3 related terms)	GO:1902476	chloride transmembrane transport	3	arsenite transport | borate transmembrane transport | chloride transmembrane transport | fluoride transmembrane transport
28	3	1.39913596369016	2	1	chloride transmembrane transport (+3 related terms)	GO:1902476	chloride transmembrane transport	3	arsenite transport | borate transmembrane transport | chloride transmembrane transport | fluoride transmembrane transport
28	4	2.83268266525182	5	1	chloride transmembrane transport (+3 related terms)	GO:1902476	chloride transmembrane transport	3	arsenite transport | borate transmembrane transport | chloride transmembrane transport | fluoride transmembrane transport
30	1	1.95663772197887	4	2	symbiont intracellular protein transport... (+3 related terms)	GO:0030581	symbiont intracellular protein transport...	3	protein import | protein import into peroxisome matrix, d... | protein transport within lipid bilayer | symbiont intracellular protein transport...
30	3	1.70663744528855	2	1	symbiont intracellular protein transport... (+3 related terms)	GO:0030581	symbiont intracellular protein transport...	3	protein import | protein import into peroxisome matrix, d... | protein transport within lipid bilayer | symbiont intracellular protein transport...
30	4	1.61278819968627	2	1	symbiont intracellular protein transport... (+3 related terms)	GO:0030581	symbiont intracellular protein transport...	3	protein import | protein import into peroxisome matrix, d... | protein transport within lipid bilayer | symbiont intracellular protein transport...
33	1	2.25026368443094	70	4	superoxide anion generation (+7 related terms)	GO:0042554	superoxide anion generation	3	hydrogen peroxide catabolic process | photorespiration | reactive oxygen species biosynthetic pro... | reactive oxygen species metabolic proces... | regulation of superoxide anion generatio... | sulfur compound metabolic process | superoxide anion generation | superoxide metabolic process
