category	ID	term	count	genes	logFC	adj_pval	zscore
BP	GO:0010193	response to ozone	3	HELPU_010949	-6.70495766265853	0.0021	-0.804567766848637
BP	GO:0010193	response to ozone	3	HELPU_012627	3.54761362844495	0.0021	-0.804567766848637
BP	GO:0010193	response to ozone	3	HELPU_014211	1.76379178389951	0.0021	-0.804567766848637
BP	GO:0080086	stamen filament development	2	HELPU_010949	-6.70495766265853	0.0023	-2.23257937713131
BP	GO:0080086	stamen filament development	2	HELPU_012627	3.54761362844495	0.0023	-2.23257937713131
BP	GO:0000379	tRNA-type intron splice site recognition...	1	HELPU_016885	-2.24793397075045	0.0028	-2.24793397075045
BP	GO:0010597	green leaf volatile biosynthetic process	2	HELPU_010949	-6.70495766265853	0.0042	-2.23257937713131
BP	GO:0010597	green leaf volatile biosynthetic process	2	HELPU_012627	3.54761362844495	0.0042	-2.23257937713131
BP	GO:0043619	regulation of transcription from RNA pol...	1	HELPU_010472	-2.56306671638293	0.0055	-2.56306671638293
BP	GO:0051455	spindle attachment to meiosis I kinetoch...	1	HELPU_013926	1.07358599152195	0.0055	1.07358599152195
BP	GO:0009901	anther dehiscence	2	HELPU_010949	-6.70495766265853	0.0062	-2.23257937713131
BP	GO:0009901	anther dehiscence	2	HELPU_012627	3.54761362844495	0.0062	-2.23257937713131
BP	GO:0042797	tRNA transcription by RNA polymerase III	1	HELPU_018203	-2.24702642943413	0.0082	-2.24702642943413
BP	GO:1904975	response to bleomycin	1	HELPU_014954	-0.784847980737209	0.0082	-0.784847980737209
BP	GO:2000685	positive regulation of cellular response...	1	HELPU_014954	-0.784847980737209	0.0082	-0.784847980737209
BP	GO:1904526	regulation of microtubule binding	1	HELPU_017920	1.55889442814154	0.011	1.55889442814154
BP	GO:0051754	meiotic sister chromatid cohesion, centr...	1	HELPU_013926	1.07358599152195	0.011	1.07358599152195
BP	GO:0009695	jasmonic acid biosynthetic process	2	HELPU_010949	-6.70495766265853	0.0115	-2.23257937713131
BP	GO:0009695	jasmonic acid biosynthetic process	2	HELPU_012627	3.54761362844495	0.0115	-2.23257937713131
BP	GO:0009611	response to wounding	5	HELPU_004629	1.18821625369914	0.0117	-2.79222977252668
BP	GO:0009611	response to wounding	5	HELPU_010472	-2.56306671638293	0.0117	-2.79222977252668
BP	GO:0009611	response to wounding	5	HELPU_010949	-6.70495766265853	0.0117	-2.79222977252668
BP	GO:0009611	response to wounding	5	HELPU_012627	3.54761362844495	0.0117	-2.79222977252668
BP	GO:0009611	response to wounding	5	HELPU_017141	-1.71142108327107	0.0117	-2.79222977252668
BP	GO:0090357	regulation of tryptophan metabolic proce...	1	HELPU_010472	-2.56306671638293	0.0137	-2.56306671638293
BP	GO:2000029	regulation of proanthocyanidin biosynthe...	1	HELPU_010472	-2.56306671638293	0.0137	-2.56306671638293
BP	GO:0009617	response to bacterium	5	HELPU_010949	-6.70495766265853	0.0142	-1.81526783695336
BP	GO:0009617	response to bacterium	5	HELPU_011369	-6.49843554088554	0.0142	-1.81526783695336
BP	GO:0009617	response to bacterium	5	HELPU_012627	3.54761362844495	0.0142	-1.81526783695336
BP	GO:0009617	response to bacterium	5	HELPU_014954	-0.784847980737209	0.0142	-1.81526783695336
