category	ID	term	count	genes	logFC	adj_pval	zscore
BP	GO:0016441	post-transcriptional gene silencing	4	HELPU_014110	-1.30907446631042	0.00052	-1.19603536329009
BP	GO:0016441	post-transcriptional gene silencing	4	HELPU_016519	6.41482476208844	0.00052	-1.19603536329009
BP	GO:0016441	post-transcriptional gene silencing	4	HELPU_018186	-6.11578799409408	0.00052	-1.19603536329009
BP	GO:0016441	post-transcriptional gene silencing	4	HELPU_018401	-1.38203302826411	0.00052	-1.19603536329009
BP	GO:0030026	intracellular manganese ion homeostasis	3	HELPU_000743	3.25261229289057	0.00085	2.9106161361258
BP	GO:0030026	intracellular manganese ion homeostasis	3	HELPU_007558	3.20977735831798	0.00085	2.9106161361258
BP	GO:0030026	intracellular manganese ion homeostasis	3	HELPU_007888	-1.42105462210886	0.00085	2.9106161361258
BP	GO:1990388	xylem-to-phloem iron transport	2	HELPU_005866	-1.50823153685411	0.00112	-3.23055989403954
BP	GO:1990388	xylem-to-phloem iron transport	2	HELPU_012770	-3.0604700793552	0.00112	-3.23055989403954
BP	GO:0009751	response to salicylic acid	14	HELPU_001110	-3.00757653395026	0.00128	-6.37676567502739
BP	GO:0009751	response to salicylic acid	14	HELPU_001984	-1.9366441281948	0.00128	-6.37676567502739
BP	GO:0009751	response to salicylic acid	14	HELPU_002449	-4.81118518392753	0.00128	-6.37676567502739
BP	GO:0009751	response to salicylic acid	14	HELPU_003592	-2.06293483444726	0.00128	-6.37676567502739
BP	GO:0009751	response to salicylic acid	14	HELPU_007558	3.20977735831798	0.00128	-6.37676567502739
BP	GO:0009751	response to salicylic acid	14	HELPU_009885	2.67563515047007	0.00128	-6.37676567502739
BP	GO:0009751	response to salicylic acid	14	HELPU_010625	-1.40029746655726	0.00128	-6.37676567502739
BP	GO:0009751	response to salicylic acid	14	HELPU_011375	-3.86169618178223	0.00128	-6.37676567502739
BP	GO:0009751	response to salicylic acid	14	HELPU_011378	-6.47262581800625	0.00128	-6.37676567502739
BP	GO:0009751	response to salicylic acid	14	HELPU_014914	4.61597128030579	0.00128	-6.37676567502739
BP	GO:0009751	response to salicylic acid	14	HELPU_016286	-2.00371889801196	0.00128	-6.37676567502739
BP	GO:0009751	response to salicylic acid	14	HELPU_018634	-3.123196908849	0.00128	-6.37676567502739
BP	GO:0009751	response to salicylic acid	14	HELPU_021980	-1.47564990977034	0.00128	-6.37676567502739
BP	GO:0009751	response to salicylic acid	14	HELPU_022127	-4.20553031728971	0.00128	-6.37676567502739
BP	GO:1990619	histone H3-K9 deacetylation	2	HELPU_016519	6.41482476208844	0.00275	0.21145092647292
BP	GO:1990619	histone H3-K9 deacetylation	2	HELPU_018186	-6.11578799409408	0.00275	0.21145092647292
BP	GO:0009807	lignan biosynthetic process	2	HELPU_011075	-2.01971212969597	0.00275	1.90572271256224
BP	GO:0009807	lignan biosynthetic process	2	HELPU_012395	4.71481103592394	0.00275	1.90572271256224
BP	GO:0080170	hydrogen peroxide transmembrane transpor...	3	HELPU_007673	-4.49705533091092	0.00331	0.35561092161736
