logFC	padj
HELPU_022730	-1.9116274833457	0.00352010221825602
HELPU_021995	-3.3258203887997	0.000741176092342648
HELPU_023544	6.68835976448754	0.00189235971372173
HELPU_006387	3.6247676670602	0.0397257248995918
HELPU_000936	6.1427780488259	0.0325226481755856
HELPU_000938	5.91021405728238	0.0310300274315722
HELPU_005655	1.43520780323037	0.0323188540247394
HELPU_001526	2.79910440519263	0.00808724021112275
HELPU_001528	2.6566180208532	0.000361447948097148
HELPU_001527	3.00537381544643	0.0323188540247394
HELPU_009648	2.28916532455575	0.0397257248995918
HELPU_021706	-4.77185102477681	7.70142150637715e-05
HELPU_008913	2.35572533508522	0.0407240646719747
HELPU_002094	1.37897163039363	0.00284137727486771
HELPU_002097	1.88462102365043	0.00385308834694579
HELPU_006420	1.56861629858129	0.0344083625334528
HELPU_007753	1.53354844541894	0.0323188540247394
HELPU_014116	1.73293636121844	0.00385308834694579
HELPU_009310	2.18024035878495	0.0476619014907412
HELPU_013798	1.62136419741872	0.0281423185427681
HELPU_010808	-1.53724623776572	2.04969299603755e-05
HELPU_003976	1.93622850812961	1.09493076403574e-05
HELPU_017061	-1.67321946155097	0.00985084708050244
HELPU_001805	-0.967610309966846	0.0263590165171391
HELPU_009399	-1.75080557449021	0.0373830545357852
HELPU_008973	-1.66607644595709	0.0323188540247394
HELPU_006495	2.39702354949844	0.0266210475777115
HELPU_019333	2.75829441412772	0.0323188540247394
HELPU_016360	-1.19143704115657	0.0260866606274925
HELPU_014910	3.05869632853954	0.0183475418669369
HELPU_009441	1.56968419879664	0.0320124305539234
HELPU_010779	1.95631807566046	0.0266210475777115
HELPU_012819	-2.58983209759619	0.00385308834694579
HELPU_008860	0.979422166734753	0.0323188540247394
HELPU_001872	2.73619643097441	0.0478840018279018
HELPU_007067	1.45072300991996	0.0310300274315722
HELPU_022563	1.69995952743074	0.00385308834694579
HELPU_007423	1.34609358551704	0.0323188540247394
HELPU_009755	2.71761487746954	0.00658251795697381
HELPU_011009	2.57235816247571	0.0198302513722535
HELPU_017185	-2.53374103330154	0.0477892134889725
HELPU_020127	-2.24393362458518	0.00145727863360033
HELPU_011579	-1.72997133337363	0.00658251795697381
HELPU_002088	-2.07694613603059	0.0198302513722535
HELPU_006932	1.60638401404811	0.00808724021112275
HELPU_010617	-1.96336813990073	2.04969299603755e-05
HELPU_010336	-6.33878298202125	0.012154538548858
HELPU_012749	-2.06774668028084	2.76426815290108e-07
HELPU_006115	1.24386659015142	0.0062568028753578
HELPU_009201	-1.43815907829411	0.0237957364266047
HELPU_003808	1.05509561385936	0.0478840018279018
HELPU_001605	1.61685775627221	0.0323188540247394
HELPU_004086	3.99100163061581	0.0310300274315722
HELPU_019967	-2.58706257460805	0.0477892134889725
HELPU_021008	7.63973190289848	0.00344700027738742
HELPU_022479	3.37067937620092	8.66167126930673e-09
HELPU_016708	-2.10634221339974	0.0113827490500622
