logFC	padj
HELPU_009297	-2.35077841566723	0.00878631007983438
HELPU_003665	-2.49968074727668	0.0215674901011297
HELPU_003666	-2.91676719387569	0.00379720423457168
HELPU_016046	1.92096802339171	0.032405187836254
HELPU_007662	1.41892099835804	0.0132110811257177
HELPU_020171	2.16358480363119	0.047823193441639
HELPU_007341	-1.28115866798976	0.033340603874699
HELPU_008464	2.96862709505929	0.0152568124710865
HELPU_006685	-1.74051338731961	0.0228678160130281
HELPU_002276	4.30755670067418	0.00859113769455838
HELPU_002277	2.22543723413171	0.00289880220068584
HELPU_002287	-1.17750467862613	0.00857117480938491
HELPU_020915	2.36748256310508	0.0255135703775009
HELPU_011141	-4.57524606026609	0.0137722018013114
HELPU_011137	-1.19449870154338	0.0185633177981249
HELPU_011142	1.83884716160231	0.0422941447626239
HELPU_010276	-2.53305216287184	0.0457759446539826
HELPU_014871	-3.49196198552606	5.49964631952855e-07
HELPU_004262	2.42435628117659	0.0497648929228052
HELPU_004273	1.86534069731175	0.0345643915507892
HELPU_006346	2.2600742322681	0.0119610514862034
HELPU_006354	2.55561626111603	0.000153986179263126
HELPU_022734	6.43199231923615	0.0039060536454122
HELPU_007837	1.06378466135698	0.0371853837091914
HELPU_012439	2.56005754872416	0.0251147425729877
HELPU_022920	3.4845494959364	5.74377589302927e-05
HELPU_021738	-1.43524474330029	0.026768088166318
HELPU_006136	1.4320968609426	0.0132110811257177
HELPU_008849	1.145110980566	0.0147677633419989
HELPU_008558	1.88548886728335	0.00233081074147434
HELPU_008562	3.51585414768037	7.34221663869194e-06
HELPU_006056	-1.29785984240316	0.0220590714371184
HELPU_009448	2.63185597942654	0.00956758818940639
HELPU_015500	3.44151036446355	5.03599660614527e-06
HELPU_015501	3.56325799294942	8.76976272983748e-09
HELPU_019671	3.72848317928852	0.0480400522096352
HELPU_011581	5.51991208054094	0.00353997249172919
HELPU_011586	3.40529949443725	0.0195038652260317
HELPU_019959	1.86271326186106	0.0024590255435604
HELPU_014104	4.37925547277927	0.0001004102938478
HELPU_022480	3.81198748575308	2.54826170627645e-07
HELPU_006298	-3.80806223934096	0.00937520929822391
HELPU_019778	-4.78359542626606	2.05992604229866e-06
HELPU_007146	2.63071848630285	0.00191427245486082
HELPU_007142	-1.42406984564316	0.00861379796677243
HELPU_007140	-5.83809195842907	5.51076742078305e-06
HELPU_006383	1.61182019991301	8.71430669240413e-05
HELPU_015351	8.52032695664144	7.54137788830322e-06
HELPU_015352	4.13162443737973	0.00100543561879752
HELPU_002173	1.74158663308047	0.0434096303710538
HELPU_002183	2.6947863452193	0.0416299400730116
HELPU_002181	5.56808651030862	0.000764033272576793
HELPU_002185	1.22130731470176	0.00120928121429544
HELPU_000924	-3.87741422343017	0.0144746567629405
HELPU_000955	2.23528710307658	0.0152568124710865
HELPU_000962	-1.19236318565076	0.00108257118086314
HELPU_019433	2.33603772418675	0.00151795142496927
HELPU_008650	2.40988648314331	0.0381771661526038
HELPU_018164	7.5125231050483	0.00836265094394504
HELPU_021532	-1.87254453813589	0.0286390629522935
HELPU_016997	-0.953029693941196	0.0498798518585045
HELPU_007514	2.6404149278966	0.022759435712078
HELPU_009878	2.05459513552813	0.00382705345540322
HELPU_016302	2.56071616727726	0.000153180033600267
HELPU_006769	1.67508836471976	0.0221526485372737
HELPU_021697	2.78797676218411	0.0007212756604391
HELPU_018472	1.91028257501678	0.0144546043653445
HELPU_018529	1.21630198574449	0.0337546469753947
HELPU_017613	-3.80306841917482	0.000150475358737916
HELPU_009566	-2.20672429636069	0.0185185818274719
HELPU_006366	9.95553538391086	0.038999997372463
HELPU_009722	2.31035170188927	0.0421308483591423
HELPU_008526	-3.69654315600075	2.55884394446656e-06
HELPU_018058	1.23679638064457	0.0358574888347842
HELPU_011572	1.99903918140355	0.029282572714075
HELPU_012357	8.13098921433631	4.15289245442817e-05
HELPU_014637	2.88811450495322	0.00583439216383931
HELPU_015088	-3.69703935409776	0.00277697429463797
HELPU_022024	-2.91046850381037	0.0398148167166276
HELPU_022256	2.63089793336865	0.00348006286110912
HELPU_011936	-6.32613046329958	0.000473926894210226
HELPU_020216	1.90809968501702	0.0423429912656374
HELPU_018277	1.71336125104164	0.00160024991458705
HELPU_016978	-1.50534450116824	0.0269254206695463
HELPU_003628	1.55155696320219	0.0473611688808572
HELPU_003639	2.07420148734515	0.0115056934981506
HELPU_006183	1.50958605020811	0.0319055901726575
HELPU_014789	0.963343889555544	0.0280871274592637
HELPU_010137	2.03008471100046	6.09222233751387e-05
HELPU_014851	2.67143371349607	0.000155703272556105
HELPU_006161	-1.81890172368007	0.0453296111721903
HELPU_014421	1.00842267237983	0.0486248617074542
HELPU_014423	-8.61290082898831	0.000556025564256637
HELPU_004631	-1.94033990652387	0.00474365872232917
HELPU_001069	-1.88779519009238	0.028791936536849
HELPU_009783	1.68438547199477	0.00532484510517183
HELPU_009787	-1.14489400761309	0.0082612198922956
HELPU_001163	-1.00140392871126	0.0102185705617466
HELPU_009191	2.31475024444057	0.000449068619417939
HELPU_018220	1.24362404980427	0.0138703939154338
HELPU_018221	-1.5278133225913	3.17186626593899e-05
HELPU_005908	-1.46240254435519	0.00676695290426369
HELPU_005913	-2.52677803086736	0.040144488386481
HELPU_023529	3.44311800583155	0.0373268803813472
HELPU_019183	1.76706505243434	0.0249485587013751
HELPU_003680	5.22977222133943	0.0032426926719618
HELPU_003686	3.07439183058674	9.59565538196961e-05
HELPU_003688	1.23431033943696	0.00171458068772627
HELPU_011349	3.5825281825373	0.000366335948719935
HELPU_001522	0.851867449350512	0.0316716044327804
HELPU_007707	1.09042173537347	0.0473369474456489
HELPU_011387	1.27866593922319	0.00825168033776668
HELPU_012008	-1.32525692157195	0.0107938508087435
HELPU_018325	-7.59030176627658	1.01109396244568e-05
HELPU_009186	4.85337268789087	0.00193215014216224
HELPU_009187	6.29743200302954	8.26657216050664e-06
HELPU_009184	3.02761727689401	0.0484965899285888
HELPU_016760	-1.69671096020791	0.0167229348845513
HELPU_021706	2.61547837927052	0.0380965633781451
HELPU_015180	-7.52474314600891	0.00224474141155918
HELPU_009629	-2.45429723966248	0.0032426926719618
HELPU_009630	-2.36290198628129	0.0154099983029572
HELPU_002409	-3.04553606996777	9.62505596947959e-06
HELPU_018381	2.78142475952919	0.0324572388333735
HELPU_0016503	-3.15004244283181	0.019043916646735
HELPU_021773	3.14085504301134	2.91962443849978e-06
HELPU_011357	4.60800931087218	0.011794143778858
HELPU_008343	1.13779672036626	0.0370611359908053
HELPU_015386	-6.21906057505666	0.00460273824386771
HELPU_015387	-4.58389488960804	0.00877142920322956
HELPU_015385	-4.135826682118	0.0258709052376673
HELPU_011428	-0.935250533335665	0.0226812274354975
HELPU_006066	1.66881580145608	0.049517065758479
HELPU_019823	4.12252248837334	0.000179433846671476
