logFC	padj
HELPU_020626	2.28598546671022	0.03263992381258
HELPU_007966	2.40568878127635	0.0316991503528654
HELPU_007341	2.54132538261224	0.00036206194011516
HELPU_007404	4.48712585680395	0.019584105445542
HELPU_013653	1.500540083115	0.0491620746006112
HELPU_017253	1.77974526144603	0.0267483606992245
HELPU_015102	2.19728875095462	0.00136521814381169
HELPU_007146	-5.55792741302942	0.00077273270977327
HELPU_003301	4.14077269300696	0.0477411573006881
HELPU_003306	-1.68749207809334	0.0397120615638017
HELPU_021619	1.80738260684478	0.0364060191047568
HELPU_021044	2.51683502165299	0.0364561275779061
HELPU_011935	1.40289793367298	0.0337563222164369
HELPU_011936	7.6988077138985	0.00077273270977327
HELPU_003632	-2.72535291237162	0.0475338351632881
HELPU_021901	2.34569347942268	0.0267483606992245
HELPU_006910	-2.70790928440125	0.0403138287415709
HELPU_006915	2.92316750470072	0.0469751664014285
HELPU_009597	-1.53897142498236	0.030947493780867
HELPU_017679	-2.74206815660439	0.0154433684028955
HELPU_021706	3.62829835199805	0.00911655538128917
HELPU_002404	2.49919541067703	0.0290585353602253
HELPU_001654	2.21600859695699	0.0375187075100207
HELPU_004719	-2.90999726051701	0.0312424530433867
HELPU_010745	8.68932871222037	4.4628099427256e-05
HELPU_010744	5.89634752586063	0.0101603132956
HELPU_015091	-1.65117104344282	0.0494919903448657
HELPU_004204	2.73155311810561	0.0322283480531862
HELPU_007059	3.58084058066946	0.0170056425450716
HELPU_007060	2.12146476425759	0.0403138287415709
HELPU_002094	-2.2085041354434	0.000466702266201939
HELPU_012791	2.26426007384457	0.0477411573006881
HELPU_013418	3.00993460209398	0.0303661292336684
HELPU_011462	1.80492005950862	0.0477411573006881
HELPU_010142	2.10873091417922	0.0184885356593423
HELPU_014216	1.89748506838697	0.00411641401273816
HELPU_006010	3.40198185429392	0.00778554001057671
HELPU_012048	-2.56809854622022	0.019584105445542
HELPU_008087	2.69442820268296	0.0477411573006881
