logFC	padj
HELPU_003668	-3.5512252557095	0.0339963577365434
HELPU_001684	-1.32910557457257	0.0293809535456896
HELPU_001693	0.752507217230286	0.0428311779461055
HELPU_001688	-1.016259838401	0.00395310595809046
HELPU_015767	1.64467929810202	0.0218037621450845
HELPU_018993	1.90288275022315	0.0329210472735882
HELPU_007661	-2.50833403467667	0.045306875957082
HELPU_020171	1.86772908938461	0.044731999330335
HELPU_022919	-5.51135565416672	0.00958139350466537
HELPU_013255	-1.05381161776054	0.00209138647040042
HELPU_008465	-4.47915363719099	0.000418953588920823
HELPU_008467	-1.76056759846107	0.00914413232696452
HELPU_006684	1.11985729456687	0.0056874356749367
HELPU_015585	-2.35629589493441	0.027645193433441
HELPU_007404	-4.99550072292127	0.00046383113412927
HELPU_009126	-2.04661837157704	0.000668861913465698
HELPU_016907	-4.90581115398767	1.4857301786241e-06
HELPU_013184	-1.01193625392487	0.012030383282186
HELPU_005127	1.88402699191501	0.0169925688975035
HELPU_005124	-1.15518734097586	0.0438312290039047
HELPU_005122	1.90475529469019	0.0341731218886736
HELPU_011137	-1.19905151345123	0.0144832085728688
HELPU_014871	-2.50528786102366	0.000397427079046143
HELPU_004271	-1.7838555363897	0.020037066017148
HELPU_012770	-2.52471551750043	0.0111689778823692
HELPU_014011	-1.27304418996422	0.0342556294119647
HELPU_015915	-1.34000530525319	0.0497877834687235
HELPU_011147	-3.69869215560912	0.000397427079046143
HELPU_012623	-7.30772883669358	2.80573717165824e-05
HELPU_022500	-2.9355067073949	0.00450775557464043
HELPU_008846	-1.25312001602799	0.00285573649503539
HELPU_008562	3.11634021615385	4.22189443806462e-05
HELPU_006056	-1.68583737976748	0.00145598956195054
HELPU_006051	-1.92595039766245	0.0437907957484635
HELPU_002263	-1.88899098343097	0.00261589108961092
HELPU_013070	1.08068627243588	0.0223001977289919
HELPU_021065	-2.55536729623554	0.00787890900864527
HELPU_012962	3.13294478874486	0.0289424708634304
HELPU_005492	1.75757351816093	0.033295885088655
HELPU_005491	-3.54436481672975	0.0179621313233311
