category	ID	term	count	genes	logFC	adj_pval	zscore
BP	GO:0071577	zinc ion transmembrane transport	2	HELPU_008968	-2.02345133434675	0.0017	-2.47831974599614
BP	GO:0071577	zinc ion transmembrane transport	2	HELPU_011866	-1.48142206233804	0.0017	-2.47831974599614
BP	GO:0009611	response to wounding	8	HELPU_000747	-1.05199146688037	0.0028	-1.98686547738994
BP	GO:0009611	response to wounding	8	HELPU_001304	-2.63053786967751	0.0028	-1.98686547738994
BP	GO:0009611	response to wounding	8	HELPU_002956	-1.20084249296369	0.0028	-1.98686547738994
BP	GO:0009611	response to wounding	8	HELPU_012627	1.65128393148138	0.0028	-1.98686547738994
BP	GO:0009611	response to wounding	8	HELPU_018554	-3.52462958960545	0.0028	-1.98686547738994
BP	GO:0009611	response to wounding	8	HELPU_018993	1.90288275022315	0.0028	-1.98686547738994
BP	GO:0009611	response to wounding	8	HELPU_021487	2.50197763899877	0.0028	-1.98686547738994
BP	GO:0009611	response to wounding	8	HELPU_023783	-3.26784711104777	0.0028	-1.98686547738994
BP	GO:0045493	xylan catabolic process	2	HELPU_011393	-1.57407581240864	0.0034	-0.0622392933182526
BP	GO:0045493	xylan catabolic process	2	HELPU_015487	1.48605615968545	0.0034	-0.0622392933182526
BP	GO:0010025	wax biosynthetic process	3	HELPU_006504	-1.1573404324735	0.0047	4.45196969471629
BP	GO:0010025	wax biosynthetic process	3	HELPU_017295	6.96549538725587	0.0047	4.45196969471629
BP	GO:0010025	wax biosynthetic process	3	HELPU_018993	1.90288275022315	0.0047	4.45196969471629
BP	GO:0071325	cellular response to mannitol stimulus	1	HELPU_009193	2.09918908497269	0.0048	2.09918908497269
BP	GO:0072709	cellular response to sorbitol	1	HELPU_009193	2.09918908497269	0.0048	2.09918908497269
BP	GO:0010350	cellular response to magnesium starvatio...	1	HELPU_009193	2.09918908497269	0.0048	2.09918908497269
BP	GO:0031115	negative regulation of microtubule polym...	1	HELPU_009193	2.09918908497269	0.0048	2.09918908497269
BP	GO:0031117	positive regulation of microtubule depol...	1	HELPU_009193	2.09918908497269	0.0048	2.09918908497269
BP	GO:0071280	cellular response to copper ion	1	HELPU_009193	2.09918908497269	0.0048	2.09918908497269
BP	GO:0071286	cellular response to magnesium ion	1	HELPU_009193	2.09918908497269	0.0048	2.09918908497269
BP	GO:0071219	cellular response to molecule of bacteri...	2	HELPU_009193	2.09918908497269	0.0064	4.40055198682428
BP	GO:0071219	cellular response to molecule of bacteri...	2	HELPU_009352	4.12413121672208	0.0064	4.40055198682428
BP	GO:0010311	lateral root formation	4	HELPU_000747	-1.05199146688037	0.0082	-1.54260208537121
BP	GO:0010311	lateral root formation	4	HELPU_006504	-1.1573404324735	0.0082	-1.54260208537121
BP	GO:0010311	lateral root formation	4	HELPU_009416	-2.52715620286993	0.0082	-1.54260208537121
BP	GO:0010311	lateral root formation	4	HELPU_012627	1.65128393148138	0.0082	-1.54260208537121
BP	GO:0034220	monoatomic ion transmembrane transport	8	HELPU_000044	-1.14807422513949	0.0087	2.19698507712461
BP	GO:0034220	monoatomic ion transmembrane transport	8	HELPU_004870	2.92041996617332	0.0087	2.19698507712461
BP	GO:0034220	monoatomic ion transmembrane transport	8	HELPU_008968	-2.02345133434675	0.0087	2.19698507712461
BP	GO:0034220	monoatomic ion transmembrane transport	8	HELPU_011866	-1.48142206233804	0.0087	2.19698507712461
BP	GO:0034220	monoatomic ion transmembrane transport	8	HELPU_012030	-1.40962428154055	0.0087	2.19698507712461
BP	GO:0034220	monoatomic ion transmembrane transport	8	HELPU_015806	2.333457756256	0.0087	2.19698507712461
BP	GO:0034220	monoatomic ion transmembrane transport	8	HELPU_016237	8.81247502280939	0.0087	2.19698507712461
BP	GO:0034220	monoatomic ion transmembrane transport	8	HELPU_017797	-1.78976865707204	0.0087	2.19698507712461
BP	GO:0010335	response to non-ionic osmotic stress	1	HELPU_000738	2.11710398458897	0.0096	2.11710398458897
BP	GO:0036290	protein trans-autophosphorylation	1	HELPU_001304	-2.63053786967751	0.0096	-2.63053786967751
BP	GO:0009987	cellular process	67	HELPU_000044	-1.14807422513949	0.0099	-3.76103421711179
BP	GO:0009987	cellular process	67	HELPU_000643	-2.10707263991323	0.0099	-3.76103421711179
BP	GO:0009987	cellular process	67	HELPU_000738	2.11710398458897	0.0099	-3.76103421711179
BP	GO:0009987	cellular process	67	HELPU_000747	-1.05199146688037	0.0099	-3.76103421711179
BP	GO:0009987	cellular process	67	HELPU_000930	-1.05940617852064	0.0099	-3.76103421711179
BP	GO:0009987	cellular process	67	HELPU_001304	-2.63053786967751	0.0099	-3.76103421711179
BP	GO:0009987	cellular process	67	HELPU_001984	-1.67393294366133	0.0099	-3.76103421711179
BP	GO:0009987	cellular process	67	HELPU_002037	-3.62276275030512	0.0099	-3.76103421711179
BP	GO:0009987	cellular process	67	HELPU_002956	-1.20084249296369	0.0099	-3.76103421711179
BP	GO:0009987	cellular process	67	HELPU_003930	-1.12368468184948	0.0099	-3.76103421711179
BP	GO:0009987	cellular process	67	HELPU_004102	-2.63631865187376	0.0099	-3.76103421711179
BP	GO:0009987	cellular process	67	HELPU_004870	2.92041996617332	0.0099	-3.76103421711179
BP	GO:0009987	cellular process	67	HELPU_005674	-4.95760379750153	0.0099	-3.76103421711179
BP	GO:0009987	cellular process	67	HELPU_005943	1.64074035201645	0.0099	-3.76103421711179
BP	GO:0009987	cellular process	67	HELPU_005958	1.5097434615523	0.0099	-3.76103421711179
BP	GO:0009987	cellular process	67	HELPU_006045	-1.35259343846976	0.0099	-3.76103421711179
BP	GO:0009987	cellular process	67	HELPU_006056	-1.68583737976748	0.0099	-3.76103421711179
BP	GO:0009987	cellular process	67	HELPU_006504	-1.1573404324735	0.0099	-3.76103421711179
