logFC	logCPM	F	PValue	FDR
jcf7180000420436_412801_412900	4.27320592293749	2.16817439387404	45.2481776636206	6.84530057382499e-08	0.0114119183723182
jcf7180000355128_53801_54400	5.24093836323077	4.75738944623217	36.7983588961689	6.59253703020296e-07	0.0159101143692001
jcf7180000420511_130901_131000	2.49219656315204	3.79868053169778	32.0105951523699	1.8744345430919e-06	0.0200778352051887
jcf7180000352587_85301_85600	1.75413267803831	2.42364098716105	31.737535758687	2.02068979502851e-06	0.0204470092217712
jcf7180000414597_5901_6000	3.93213104272984	0.590571362995381	30.3160611271531	3.00341214405634e-06	0.0252770383985364
jcf7180000349401_1901_2000	2.58293186901753	0.994047054972927	29.6176077444561	3.66107575527668e-06	0.0297495228554036
jcf7180000421140_15001_15100	4.53671488754257	0.46481177679312	28.3227456085375	5.31631756714227e-06	0.0335930096231268
jcf7180000348765_69901_70100	4.6229134316383	0.432376981415896	27.6557012768398	6.46269636389198e-06	0.0335930096231268
jcf7180000413250_19201_19400	2.36153594527107	1.15798772598791	27.6209777554368	6.5291089874429e-06	0.0335930096231268
jcf7180000392733_76601_76900	3.01398855416234	1.7425185494842	27.315381894728	7.14565453556736e-06	0.0335930096231268
jcf7180000350801_61601_61800	2.63699932715353	2.25986141077673	26.7672856193877	8.41069024856454e-06	0.0335930096231268
jcf7180000348922_96901_97000	3.37588933446449	1.7296085070452	26.4997418860934	9.32030648844356e-06	0.0343505160658475
jcf7180000352607_81001_81100	2.30241309196564	1.3759789039501	26.3929102637812	9.40940457214382e-06	0.0343505160658475
jcf7180000360075_18701_19900	2.63042809429155	1.30280221254965	26.2617747708345	9.78824515385182e-06	0.0343505160658475
jcf7180000350785_27401_27600	5.43304742256874	3.4681389458448	26.518681892329	1.04929751922744e-05	0.0343505160658475
jcf7180000353936_57501_57600	5.16642478761815	5.49405643440395	26.4170038680575	1.08101610613221e-05	0.0343505160658475
jcf7180000367403_6301_6600	2.17515836561264	1.66052439119052	25.8959933297939	1.09326449068265e-05	0.0343505160658475
jcf7180000417132_103901_104000	5.20575626351771	3.94822441302387	26.2249125937282	1.14374561570498e-05	0.0350032205307135
jcf7180000365144_31001_31100	3.55553004820473	0.585490235353418	25.6673678768757	1.17190705796594e-05	0.0353740999258763
jcf7180000393585_11001_11100	5.49891829515718	3.4680053495176	25.6994732093689	1.33587104188887e-05	0.035528988142642
jcf7180000371019_26501_26600	6.58086243712588	1.35422449454153	25.6024728964443	1.35195494681621e-05	0.035528988142642
jcf7180000420955_10101_10200	2.64809014759983	3.17317842898116	25.1951577320574	1.35388562334735e-05	0.035528988142642
jcf7180000392833_8501_8600	4.89134466134402	2.11062278879108	25.5044995220115	1.41562473786705e-05	0.035528988142642
jcf7180000417118_64101_64300	4.22376413882701	0.298050497186782	25.1687051379077	1.45571229408075e-05	0.035528988142642
jcf7180000410565_49101_49300	3.26069788877886	1.36289726368751	24.944373469171	1.46246434338758e-05	0.035528988142642
jcf7180000393977_17601_17800	4.47459506450178	0.493091634452765	25.5617244191484	1.60114738095832e-05	0.0366612598608816
jcf7180000394465_701_800	5.45012108522174	2.76112385212774	24.9342972012294	1.67921006136442e-05	0.0366612598608816
jcf7180000417094_969201_969300	6.14026066088032	2.31748720472863	24.7332839249271	1.78414444211797e-05	0.0366612598608816
jcf7180000366784_8901_9000	5.06800359173068	1.21606265652314	24.3460724478154	1.86724714566673e-05	0.0366612598608816
jcf7180000394427_58101_58200	4.88640119460808	2.11126141372164	24.5608978372719	1.87967446025046e-05	0.0366612598608816
jcf7180000352607_73401_73700	2.21425338151484	1.54028481408768	24.0292704147426	1.94357059746804e-05	0.0366612598608816
jcf7180000413955_43301_43400	2.29074220525872	1.66212405917906	23.8029019140563	2.08672625243787e-05	0.0366612598608816
jcf7180000356009_41801_41900	4.31004440111972	1.10576942824525	23.8386053353212	2.13777591407079e-05	0.0366612598608816
jcf7180000374820_16101_16200	3.94124903741481	1.20713359447274	23.7682829271403	2.14916535761176e-05	0.0366612598608816
jcf7180000353491_26601_27000	4.9617142594857	1.10417396156433	23.9142495174343	2.16252177390439e-05	0.0366612598608816
jcf7180000360075_21901_22900	2.41688158368101	1.05510554835734	23.6809928031584	2.16840143929658e-05	0.0366612598608816
jcf7180000393062_1701_1800	4.46602651262125	1.50197228586681	23.9301717117047	2.16906342067416e-05	0.0366612598608816
jcf7180000360075_25101_26100	2.58625969730102	1.02920429442531	23.6389555373623	2.1973429688104e-05	0.0366612598608816
jcf7180000371683_11501_11600	5.02675371372867	2.14248590962747	23.979766427471	2.24375486932799e-05	0.0366612598608816
jcf7180000420436_410801_411000	2.8373117622233	2.78049777428655	23.6295325441107	2.24866426059792e-05	0.0366612598608816
jcf7180000393061_7801_7900	4.4660293062191	1.49866523978204	23.8152901454913	2.24992373133488e-05	0.0366612598608816
jcf7180000394491_18601_18700	5.05581827450543	2.52499990380368	23.9653154899633	2.25370975814717e-05	0.0366612598608816
jcf7180000348081_48401_48500	2.68252421296076	1.37971102590592	23.5578522615355	2.25434048301948e-05	0.0366612598608816
jcf7180000393827_27101_27400	1.73487389551112	5.40177306535203	23.5536426160001	2.25734126894477e-05	0.0366612598608816
jcf7180000396607_214001_214200	5.10635954523677	3.62740600531699	23.9008578145168	2.29868676934228e-05	0.0366612598608816
jcf7180000419396_8201_8300	6.05719549222102	1.70484733036839	23.8923618044473	2.30468569923914e-05	0.0366612598608816
jcf7180000348492_68601_68700	5.09236889807199	1.28051225964978	23.748632952248	2.31532649478079e-05	0.0366612598608816
jcf7180000417943_39301_39400	5.10639149012905	3.62564612439519	23.8501237116925	2.33475690271253e-05	0.0366612598608816
jcf7180000365193_801_1500	2.60032993754673	0.586818735982102	23.4133646204934	2.35979047226357e-05	0.0366612598608816
jcf7180000413400_65401_65800	1.45949149265912	2.72763713994284	23.395371008088	2.37328320904021e-05	0.0366612598608816
jcf7180000417626_31001_31100	1.62438479378631	2.6355472394909	23.3327742943439	2.42086108421403e-05	0.0366612598608816
jcf7180000417096_572701_573000	4.59946901255067	0.413398465346588	23.3224982715992	2.42876744563742e-05	0.0366612598608816
jcf7180000417698_31701_31900	4.92094445685055	2.07887614675135	23.7033637927329	2.44251787523007e-05	0.0366612598608816
jcf7180000396952_8401_9200	1.66938043217426	1.5496279047594	23.241279005439	2.49222625787001e-05	0.036936830810901
jcf7180000360949_12401_12500	4.79149372195373	2.08541593437377	23.4689373069025	2.62573327239e-05	0.037519168557616
jcf7180000352726_24801_25000	3.46407713958193	0.88609384077742	22.9306563932744	2.75157133209513e-05	0.037519168557616
jcf7180000360471_53501_54400	2.41285558187102	0.819742162597288	22.9119972105101	2.76803238436327e-05	0.037519168557616
jcf7180000417094_89901_90100	6.30052551467671	2.40417701251584	23.2369291932405	2.82146775636791e-05	0.037519168557616
jcf7180000414146_17001_17100	4.04181279965368	-0.162017107717606	26.6676532206831	2.84858872768572e-05	0.037519168557616
jcf7180000420472_150801_150900	4.6244152474982	3.01557060127065	23.2043704350845	2.8501508072714e-05	0.037519168557616
jcf7180000348244_31701_31900	2.8709333224217	1.26416615800297	22.7909101231987	2.87741701765359e-05	0.037519168557616
jcf7180000420515_158201_158600	3.56800605553353	2.10179707522083	23.0011902172756	2.89244383388498e-05	0.037519168557616
jcf7180000370519_11801_12300	3.38441530109411	2.11488846122143	22.8885423856198	2.93914046582347e-05	0.037519168557616
jcf7180000417185_42001_42500	4.68852421344703	1.08773119734788	22.8781134129477	2.94249024062989e-05	0.037519168557616
jcf7180000356583_2601_2700	4.62441712415519	3.01510288475954	23.0516943931578	2.98883833957094e-05	0.037519168557616
jcf7180000421805_86501_86600	4.52570660236055	3.15154726472682	23.0066536329316	3.03110617695336e-05	0.037519168557616
jcf7180000420936_81701_82000	5.55305873019439	1.72702089381518	22.9962005477123	3.04100606172036e-05	0.037519168557616
jcf7180000421680_8901_9000	4.71568470415998	1.38402010266156	22.8518983515417	3.07429890818205e-05	0.0377323756256254
jcf7180000417158_274901_275000	4.83853070080248	4.51433408217076	22.8660592309153	3.16717212963297e-05	0.0385437099152682
jcf7180000421427_138701_139500	1.66938420838826	1.54246736644613	22.4864787349245	3.17311605873179e-05	0.0385437099152682
jcf7180000420409_117801_118100	3.98166836956027	1.35282023704657	22.5735673152106	3.19363587867278e-05	0.0385940250484677
jcf7180000353491_34201_34600	3.94517612012679	0.771030346660955	22.4477088352455	3.23099954359388e-05	0.038845341791983
jcf7180000362639_12101_12200	2.52653864135715	0.364487952405086	22.4075226705006	3.25494181776574e-05	0.038845341791983
jcf7180000349819_401_500	4.5712836890859	3.04010730726101	22.737386837009	3.29738443851021e-05	0.0388675002261515
