combination	observed	expected	p_value	p_label	significant
AvsM_1U|||AvsA1|||MvsM1	0	0.08	1	1.000	FALSE
AvsM_1U|||AvsA1|||MvsM3	0	0.02	1	1.000	FALSE
AvsM_1U|||AvsA3|||MvsM1	1	0.19	0.188118811881188	0.188	FALSE
AvsM_1U|||AvsA3|||MvsM3	2	0.16	0.0099009900990099	0.010	TRUE
AvsM_1U|||MvsM1|||MvsM3	3	0.47	0.0198019801980198	0.020	TRUE
AvsM_3U|||AvsA1|||AvsA3	0	0.05	1	1.000	FALSE
AvsM_3U|||AvsA1|||MvsM1	0	0.03	1	1.000	FALSE
AvsM_3U|||AvsA1|||MvsM3	0	0.03	1	1.000	FALSE
AvsM_3U|||AvsA3|||MvsM1	0	0.15	1	1.000	FALSE
AvsM_3U|||AvsA3|||MvsM3	1	0.07	0.0693069306930693	0.069	FALSE
AvsM_3U|||MvsM1|||MvsM3	2	0.24	0.0396039603960396	0.040	TRUE
AvsA1|||AvsA3|||MvsM1	7	0.06	0.0099009900990099	0.010	TRUE
AvsA1|||AvsA3|||MvsM3	5	0.02	0.0099009900990099	0.010	TRUE
AvsA1|||MvsM1|||MvsM3	9	0.06	0.0099009900990099	0.010	TRUE
AvsA3|||MvsM1|||MvsM3	8	0.19	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_1U|||AvsM_3U	26	0.06	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_1U|||AvsA1	0	0.07	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_1U|||AvsA3	1	0.06	0.0693069306930693	0.069	FALSE
AvsM_1D|||AvsM_3D|||AvsM_1U|||MvsM1	3	0.16	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_1U|||MvsM3	7	0.14	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_3U|||AvsA1	0	0.01	1	1.000	FALSE
