combination	observed	expected	p_value	p_label	significant
AvsM_1U|||AvsA1|||MvsM3	0	0.22	1	1.000	FALSE
AvsM_1U|||AvsA3|||MvsM1	0	0.03	1	1.000	FALSE
AvsM_1U|||AvsA3|||MvsM3	0	0.02	1	1.000	FALSE
AvsM_1U|||MvsM1|||MvsM3	0	0.39	1	1.000	FALSE
AvsM_3U|||AvsA1|||AvsA3	0	0.01	1	1.000	FALSE
AvsM_3U|||AvsA1|||MvsM1	2	0.14	0.0099009900990099	0.010	TRUE
AvsM_3U|||AvsA1|||MvsM3	5	0.16	0.0099009900990099	0.010	TRUE
AvsM_3U|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_3U|||AvsA3|||MvsM3	0	0.02	1	1.000	FALSE
AvsM_3U|||MvsM1|||MvsM3	12	0.49	0.0099009900990099	0.010	TRUE
AvsA1|||AvsA3|||MvsM1	1	0	0.0099009900990099	0.010	TRUE
AvsA1|||AvsA3|||MvsM3	1	0	0.0099009900990099	0.010	TRUE
AvsA1|||MvsM1|||MvsM3	3	0.01	0.0099009900990099	0.010	TRUE
AvsA3|||MvsM1|||MvsM3	1	0	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_1U|||AvsM_3U	17	0.8	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_1U|||AvsA1	0	0.11	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_1U|||AvsA3	0	0.01	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_1U|||MvsM1	1	0.14	0.128712871287129	0.129	FALSE
AvsM_1D|||AvsM_3D|||AvsM_1U|||MvsM3	3	0.36	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_3U|||AvsA1	0	0.03	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_3U|||AvsA3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_3U|||MvsM1	2	0.13	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_3U|||MvsM3	5	0.36	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsA1|||AvsA3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsA1|||MvsM1	0	0.05	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsA1|||MvsM3	0	0.04	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsA3|||MvsM3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||MvsM1|||MvsM3	1	0.07	0.0792079207920792	0.079	FALSE
AvsM_1D|||AvsM_1U|||AvsM_3U|||AvsA1	0	0.06	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsM_3U|||AvsA3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsM_3U|||MvsM1	0	0.13	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsM_3U|||MvsM3	2	0.23	0.0297029702970297	0.030	TRUE
AvsM_1D|||AvsM_1U|||AvsA1|||AvsA3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsA1|||MvsM1	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsA1|||MvsM3	0	0.01	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsA3|||MvsM3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||MvsM1|||MvsM3	0	0.04	1	1.000	FALSE
AvsM_1D|||AvsM_3U|||AvsA1|||AvsA3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3U|||AvsA1|||MvsM1	0	0.02	1	1.000	FALSE
AvsM_1D|||AvsM_3U|||AvsA1|||MvsM3	1	0.04	0.0495049504950495	0.050	TRUE
AvsM_1D|||AvsM_3U|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3U|||AvsA3|||MvsM3	0	0.01	1	1.000	FALSE
AvsM_1D|||AvsM_3U|||MvsM1|||MvsM3	1	0.02	0.0297029702970297	0.030	TRUE
AvsM_1D|||AvsA1|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_1D|||AvsA1|||AvsA3|||MvsM3	0	0	1	1.000	FALSE
AvsM_1D|||AvsA1|||MvsM1|||MvsM3	0	0	1	1.000	FALSE
AvsM_1D|||AvsA3|||MvsM1|||MvsM3	0	0	1	1.000	FALSE
AvsM_3D|||AvsM_1U|||AvsM_3U|||AvsA1	0	0.05	1	1.000	FALSE
AvsM_3D|||AvsM_1U|||AvsM_3U|||AvsA3	0	0	1	1.000	FALSE
AvsM_3D|||AvsM_1U|||AvsM_3U|||MvsM1	0	0.06	1	1.000	FALSE
AvsM_3D|||AvsM_1U|||AvsM_3U|||MvsM3	1	0.21	0.188118811881188	0.188	FALSE
AvsM_3D|||AvsM_1U|||AvsA1|||AvsA3	0	0	1	1.000	FALSE
AvsM_3D|||AvsM_1U|||AvsA1|||MvsM1	1	0.03	0.0396039603960396	0.040	TRUE
AvsM_3D|||AvsM_1U|||AvsA1|||MvsM3	0	0	1	1.000	FALSE
AvsM_3D|||AvsM_1U|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_3D|||AvsM_1U|||AvsA3|||MvsM3	0	0	1	1.000	FALSE
AvsM_3D|||AvsM_1U|||MvsM1|||MvsM3	0	0.06	1	1.000	FALSE
AvsM_3D|||AvsM_3U|||AvsA1|||AvsA3	0	0	1	1.000	FALSE
AvsM_3D|||AvsM_3U|||AvsA1|||MvsM1	1	0.02	0.0297029702970297	0.030	TRUE
AvsM_3D|||AvsM_3U|||AvsA1|||MvsM3	2	0.02	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsM_3U|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_3D|||AvsM_3U|||AvsA3|||MvsM3	0	0	1	1.000	FALSE
AvsM_3D|||AvsM_3U|||MvsM1|||MvsM3	3	0.05	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsA1|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_3D|||AvsA1|||AvsA3|||MvsM3	0	0	1	1.000	FALSE
AvsM_3D|||AvsA1|||MvsM1|||MvsM3	1	0.02	0.0297029702970297	0.030	TRUE
AvsM_3D|||AvsA3|||MvsM1|||MvsM3	0	0.01	1	1.000	FALSE
AvsM_1U|||AvsM_3U|||AvsA1|||AvsA3	0	0	1	1.000	FALSE
AvsM_1U|||AvsM_3U|||AvsA1|||MvsM1	0	0.02	1	1.000	FALSE
AvsM_1U|||AvsM_3U|||AvsA1|||MvsM3	0	0.02	1	1.000	FALSE
AvsM_1U|||AvsM_3U|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_1U|||AvsM_3U|||AvsA3|||MvsM3	0	0	1	1.000	FALSE
AvsM_1U|||AvsM_3U|||MvsM1|||MvsM3	0	0.02	1	1.000	FALSE
AvsM_1U|||AvsA1|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_1U|||AvsA1|||AvsA3|||MvsM3	0	0	1	1.000	FALSE
AvsM_1U|||AvsA1|||MvsM1|||MvsM3	0	0	1	1.000	FALSE
AvsM_1U|||AvsA3|||MvsM1|||MvsM3	0	0	1	1.000	FALSE
AvsM_3U|||AvsA1|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_3U|||AvsA1|||AvsA3|||MvsM3	0	0	1	1.000	FALSE
AvsM_3U|||AvsA1|||MvsM1|||MvsM3	2	0	0.0099009900990099	0.010	TRUE
AvsM_3U|||AvsA3|||MvsM1|||MvsM3	0	0	1	1.000	FALSE
