combination	observed	expected	p_value	p_label	significant
AvsM_1U|||AvsA1|||MvsM3	10	0.48	0.0099009900990099	0.010	TRUE
AvsM_1U|||AvsA3|||MvsM1	0	0.06	1	1.000	FALSE
AvsM_1U|||AvsA3|||MvsM3	0	0.11	1	1.000	FALSE
AvsM_1U|||MvsM1|||MvsM3	73	1.34	0.0099009900990099	0.010	TRUE
AvsM_3U|||AvsA1|||AvsA3	0	0.02	1	1.000	FALSE
AvsM_3U|||AvsA1|||MvsM1	16	0.19	0.0099009900990099	0.010	TRUE
AvsM_3U|||AvsA1|||MvsM3	35	0.57	0.0099009900990099	0.010	TRUE
AvsM_3U|||AvsA3|||MvsM1	0	0.04	1	1.000	FALSE
AvsM_3U|||AvsA3|||MvsM3	0	0.14	1	1.000	FALSE
AvsM_3U|||MvsM1|||MvsM3	196	1.91	0.0099009900990099	0.010	TRUE
AvsA1|||AvsA3|||MvsM1	3	0	0.0099009900990099	0.010	TRUE
AvsA1|||AvsA3|||MvsM3	4	0.02	0.0099009900990099	0.010	TRUE
AvsA1|||MvsM1|||MvsM3	36	0.06	0.0099009900990099	0.010	TRUE
AvsA3|||MvsM1|||MvsM3	3	0.03	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_1U|||AvsM_3U	260	1.55	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_1U|||AvsA1	0	0.05	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_1U|||AvsA3	2	0.03	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_1U|||MvsM1	1	0.31	0.267326732673267	0.267	FALSE
AvsM_1D|||AvsM_3D|||AvsM_1U|||MvsM3	27	0.89	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_3U|||AvsA1	0	0.1	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_3U|||AvsA3	0	0.04	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsM_3U|||MvsM1	9	0.37	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsM_3U|||MvsM3	13	1.18	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_3D|||AvsA1|||AvsA3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsA1|||MvsM1	0	0.02	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsA1|||MvsM3	0	0.05	1	1.000	FALSE
