combination	observed	expected	p_value	p_label	significant
1	45	45	1	1.000	FALSE
3	5	5	1	1.000	FALSE
4	67	67	1	1.000	FALSE
5	0	0	1	1.000	FALSE
1_3	0	0	1	1.000	FALSE
1_4	2	0.12	0.0198019801980198	0.020	TRUE
1_5	0	0	1	1.000	FALSE
3_4	1	0.01	0.0198019801980198	0.020	TRUE
3_5	0	0	1	1.000	FALSE
4_5	0	0	1	1.000	FALSE
1_3_4	0	0	1	1.000	FALSE
1_3_5	0	0	1	1.000	FALSE
1_4_5	0	0	1	1.000	FALSE
3_4_5	0	0	1	1.000	FALSE
1_3_4_5	0	0	1	1.000	FALSE
