	Expression	Targeting
HELPU_016332	3.30956841304289	6.45613813273731
HELPU_016394	11.5677375673706	4.21174048123473
HELPU_016594	3.52135827202821	3.87535308135952
HELPU_016820	2.59557225012181	1.69622829748365
HELPU_017385	2.38625992940816	6.42327284132992
HELPU_017765	1.20424370916837	2.53825567214125
HELPU_017801	8.95027624933036	4.91057925758259
HELPU_017927	0.920197060212358	2.67399992778126
HELPU_018144	2.78110073929485	2.06828314680163
HELPU_018528	0.656790863039545	1.78544144977776
HELPU_018727	0.632229815354286	8.45601603412278
HELPU_018833	0.588798037680527	4.02659748433116
HELPU_018888	1.05762980191902	4.90437333728443
HELPU_019184	4.03608230760595	4.63579100025913
HELPU_019352	2.96875153717727	4.31993520002483
HELPU_019443	3.93031076873064	7.67555420300485
HELPU_019603	1.87201073312765	3.18246932964519
HELPU_020123	1.90457515623453	2.03613954733238
HELPU_020555	0.861661427864705	1.23980764810531
HELPU_020588	2.23549906975818	2.54511644531895
HELPU_021029	5.54551430191918	5.87318968925327
HELPU_021138	11.152709833244	6.10713056523134
HELPU_021202	4.54213890820285	2.40938415955328
HELPU_021413	3.22717110793354	3.96931665825149
HELPU_021481	11.5726073088282	6.08812249227576
HELPU_021638	0.879926701126481	2.62884734895542
HELPU_021929	6.81182231877022	2.15148316438085
HELPU_022233	0.889523243202084	7.23142134484998
HELPU_022250	0.808736511898488	2.85062237028281
HELPU_022746	3.52914441536187	1.39117096781984
HELPU_022920	1.7196928929591	1.39689963659356
