	Expression	Targeting
HELPU_007293	-4.72289583026171	-1.78554222177687
HELPU_007888	-1.42105462210886	-1.53805093120002
HELPU_008882	-2.60296326350499	-2.00669513372157
HELPU_009157	-3.09207127464515	-3.75963809032478
HELPU_010917	-8.57129991931408	-2.89297533515935
HELPU_011369	-3.78286869013493	-1.59595324076579
HELPU_011936	-9.70396416515971	-3.03375302212375
HELPU_012438	-1.11153250682508	-2.48417209142032
HELPU_013418	-1.99773066664963	-3.14041744380289
HELPU_014534	-2.2120226902744	-5.16260588801709
HELPU_015339	-1.363603872256	-2.90547530073767
HELPU_022024	-3.71900817357422	-1.58272599947105
HELPU_022596	-4.06917171236393	-2.9211798799357
HELPU_023644	-5.637575691942	-1.81287799208314
HELPU_023783	-3.48123562079827	-3.44350122311151
HELPU_000403	-1.1736795871386	-5.2653692626716
HELPU_001110	-3.00757653395026	-1.46996421849777
HELPU_001238	-1.78184790095234	-2.62999129101268
HELPU_001720	-2.58720850788974	-4.86472738878349
HELPU_002260	-3.73098037269785	-2.09907986804939
HELPU_002522	-1.13210137045694	-1.94651198309662
HELPU_002810	-2.10274100613311	-2.48737188845423
HELPU_003592	-2.06293483444726	-2.50076304795063
HELPU_003999	-0.918955078456837	-2.00778118651939
HELPU_004395	-0.700607056134035	-2.44377306783515
HELPU_004761	-0.826044363798356	-6.50147000012362
HELPU_005280	-2.69081605143672	-3.5055505224515
HELPU_005300	-3.57484784474529	-2.58128430919658
HELPU_005358	-3.06916551619681	-3.52766197479261
HELPU_006045	-1.47495917864193	-2.75510957023138
HELPU_006140	-3.89308462893671	-2.72164980018829
HELPU_006504	-0.685665649922808	-6.76403973944834
HELPU_006831	-4.95909824508309	-2.7090938325747
HELPU_006833	-1.50894996461589	-1.17211748340135
HELPU_006925	-2.96734128865565	-0.899584171800611
HELPU_007141	-6.17181014491734	-3.79821462107377
HELPU_007320	-4.3646027335904	-1.81579702647308
HELPU_007673	-4.49705533091092	-1.48519655185977
HELPU_007972	-1.30903370394173	-3.38686256872066
HELPU_007986	-6.31209344959797	-1.75181524280788
HELPU_008725	-1.835122812033	-6.14947427824515
HELPU_009031	-3.48811612504956	-2.59972378638335
HELPU_009472	-6.39840421268599	-4.96984463702633
HELPU_009875	-5.16181063334725	-1.00961301816707
HELPU_009951	-1.70338808511728	-2.26989651067211
HELPU_011075	-2.01971212969597	-2.38310815002049
HELPU_011375	-3.86169618178223	-4.46318856881958
HELPU_011378	-6.47262581800625	-1.99778938443364
HELPU_011953	-3.9232193200383	-1.14760181148834
HELPU_012622	-8.51779429544749	-4.86501785017691
HELPU_013820	-2.49381402417186	-2.26240161326147
HELPU_014110	-1.30907446631042	-2.60350130822299
HELPU_014337	-6.57361676401241	-3.60495607017525
HELPU_015615	-1.98203921995012	-1.22593007793808
HELPU_015757	-1.41510652713139	-2.54207285417916
HELPU_015802	-8.25132256911323	-1.16230392293897
HELPU_015942	-7.36927748930231	-3.2322766406208
HELPU_016234	-1.90946046372831	-1.63464503330651
HELPU_016340	-0.593560134540099	-1.88018806886666
HELPU_016652	-1.34117980890929	-1.94258135196432
HELPU_016860	-6.95192640665103	-5.09879762353246
HELPU_017324	-4.92834834249767	-6.7348917381474
HELPU_017720	-8.04642630347551	-2.26067913139101
