	Expression	Targeting
HELPU_011369	-6.49843554088554	-2.3025635042745
HELPU_011936	-9.89994990805261	-2.67493144306168
HELPU_014534	-2.10264526565284	-5.84728995022927
HELPU_017141	-1.71142108327107	-2.8419008227364
HELPU_008240	-1.31415673751395	-3.51695340577601
HELPU_010442	-1.63555543970474	-4.10325218733695
HELPU_010949	-6.70495766265853	-2.98126219565492
HELPU_012514	-1.65096785902575	-2.80056382782915
HELPU_013799	-2.09965271786004	-1.65388873898561
HELPU_014749	-4.7061302837723	-2.4743876348909
HELPU_018203	-2.24702642943413	-3.0076339139261
HELPU_018599	-2.43493128218968	-2.52208761647384
HELPU_018732	-6.71815330054442	-4.52942299144422
HELPU_020432	-6.74331537450567	-3.46406744582801
HELPU_022499	-5.13658176101899	-2.71906650095117
HELPU_023423	-9.23733039647699	-2.29446485370883
HELPU_003360	-2.30465813391712	2.37913971485828
HELPU_011935	-1.51089151776428	2.18736534265229
HELPU_014954	-0.784847980737209	3.0967681433277
HELPU_001875	-1.9378940156418	3.74468383229608
HELPU_002217	-1.066883408343	8.35286086971661
HELPU_005561	-1.79238592811454	3.39202118149519
HELPU_007292	-3.11972118601142	3.41158296115824
HELPU_008650	-2.21660114903491	2.8214398437252
HELPU_008976	-4.82951583209006	5.1787576960987
HELPU_010472	-2.56306671638293	1.30126433796546
HELPU_016740	-3.00721551530108	2.78021414548028
HELPU_016885	-2.24793397075045	2.07424103841096
HELPU_018016	-4.49463497482135	3.81418954497651
HELPU_018097	-1.3248521505785	6.59899990306981
HELPU_018416	-1.51516989546643	5.48563857306343
HELPU_020266	-1.68152124602894	2.46850045211449
HELPU_020636	-2.83836453002796	4.92387835253662
HELPU_023075	-6.96971899697712	3.57293354199872
HELPU_023856	3.38231442206488	-4.13247562512113
HELPU_005864	1.42108321835569	-2.67262834020513
HELPU_012627	3.54761362844495	-2.8118601893895
HELPU_021800	5.21796416995374	-3.0255803875998
HELPU_023175	4.3946590179111	-3.0283190583156
HELPU_014211	1.76379178389951	5.2408619552494
HELPU_016521	6.99882029729248	3.81915743722343
HELPU_017437	1.44288628277969	7.1779106710296
HELPU_017477	10.6198022699896	3.36945960508084
HELPU_002306	3.15969790024233	1.85619561783928
HELPU_004629	1.18821625369914	5.6316701707444
HELPU_006470	2.29680904634964	3.53079239802774
HELPU_007115	2.15054710348476	2.13371055133354
HELPU_013926	1.07358599152195	2.71438411302219
HELPU_017920	1.55889442814154	2.21192817723958
HELPU_018592	6.38156527503962	6.59146107483409
HELPU_019086	1.08289786250933	2.84626975678815
HELPU_020928	3.13596762998001	1.66604118526692
HELPU_021296	1.85560830559966	2.28842424192725
